sample_id	geometric_mean
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_0	4763.163383944761
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_1	4742.270902314697
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_10	5108.987444919588
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_11	4861.929234186222
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_12	5168.5959898261435
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_13	4981.368853044769
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_14	4908.989175911276
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_19	5271.933399565895
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_2	5056.838856062276
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_22	4934.898153862235
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_24	4979.776117153073
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_25	5047.871606555541
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_26	5132.878638759235
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_28	5094.756782027004
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_3	4778.232952777114
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_30	5098.12481759538
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_33	5250.7091785498005
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_4	5068.951002473597
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_5	5091.93227596536
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_8	4847.100593122727
overall	5007.17
