sample_id	geometric_mean
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_0	4688.501552497211
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_1	4668.699855557096
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_10	5035.191250077302
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_11	4774.34407245382
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_12	5108.827411552613
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_14	4829.2794428751595
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_15	5084.076064467499
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_16	5265.861579450506
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_2	4976.066886869539
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_21	5129.9630267057255
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_24	4898.640850432361
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_27	5225.464471710265
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_3	4701.20108474
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_4	4996.002640508189
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_5	5020.423053620431
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_6	4670.3298835756905
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_61	6352.609439878575
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_7	4807.013734970475
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_8	4787.048593996124
0117-twophase-final-gpu-mode-trimul-fixed-none-tinker-gpt-oss-120b-high-train-entropic_adaptive_beta-kl-1e-1-512-v0-BoN-d-ord-run-1_step_0:49_top12800_rand0_sample_9	5076.818441487664
overall	4993.24
