sample_id	geometric_mean
sample_10040	23259.26224075144
sample_10970	21166.250922498806
sample_1243	6855.163768913173
sample_137	5433.392034041716
sample_1512	7182.844921957107
sample_1533	7167.522847079087
sample_1787	7205.012307768441
sample_193	5435.279748314957
sample_2465	7399.630736562093
sample_3803	7278.677850973886
sample_3819	7206.503165121281
sample_4529	7334.465139192677
sample_466	6935.494013431906
sample_5655	7660.460601710586
sample_575	6539.899263326042
sample_6335	7724.2107708645935
sample_6807	9040.46771227532
sample_7705	10064.211601599933
sample_7782	7757.683497902884
sample_9702	21502.934804944787
overall	8542.96
