sample_idx	step	score	original_index	original_step	performance	correctness	score_msg	length	output_file
0	31	2.801251225547411				1.0			sample_0.py
1	31	2.7981509072631234				1.0			sample_1.py
2	31	2.7865119446621023				1.0			sample_2.py
3	31	2.77762295101699				1.0			sample_3.py
4	31	2.7568563016221344				1.0			sample_4.py
5	31	2.7401684582496975				1.0			sample_5.py
6	31	2.7213239131984754				1.0			sample_6.py
7	31	2.71368874152956				1.0			sample_7.py
8	31	2.7097847617963704				1.0			sample_8.py
9	31	2.703772519721317				1.0			sample_9.py
10	31	2.692813889534042				1.0			sample_10.py
11	31	2.6926293579533				1.0			sample_11.py
12	30	2.6912109893268363				1.0			sample_12.py
13	31	2.6903691778393215				1.0			sample_13.py
14	31	2.686615322761233				1.0			sample_14.py
15	33	2.6835038044033435				1.0			sample_15.py
16	30	2.681416603117093				1.0			sample_16.py
17	30	2.6812653820843386				1.0			sample_17.py
18	33	2.679944421525957				1.0			sample_18.py
19	31	2.6798275977578774				1.0			sample_19.py
